STACKQL_SERVICE,STACKQL_RESOURCE,STACKQL_METHOD,SQL_VERB,OBJECT_KEY,RESPONSE_SHAPE,OPERATION_ID,REQUIRED_PARAMS,HTTP_PATH,HTTP_VERB
aiplatform,contexts,patch,update,,GoogleCloudAiplatformV1Context,aiplatform.projects.locations.metadataStores.contexts.patch,projects|locations|metadataStores|contexts,//v1/projects/{projectsId}/locations/{locationsId}/metadataStores/{metadataStoresId}/contexts/{contextsId},PATCH
aiplatform,contexts,delete,delete,,GoogleLongrunningOperation,aiplatform.projects.locations.metadataStores.contexts.delete,projects|locations|metadataStores|contexts,//v1/projects/{projectsId}/locations/{locationsId}/metadataStores/{metadataStoresId}/contexts/{contextsId},DELETE
aiplatform,contexts,purge,exec,,GoogleLongrunningOperation,aiplatform.projects.locations.metadataStores.contexts.purge,projects|locations|metadataStores,//v1/projects/{projectsId}/locations/{locationsId}/metadataStores/{metadataStoresId}/contexts:purge,POST
aiplatform,contexts,add_context_artifacts_and_executions,exec,,GoogleCloudAiplatformV1AddContextArtifactsAndExecutionsResponse,aiplatform.projects.locations.metadataStores.contexts.addContextArtifactsAndExecutions,projects|locations|metadataStores|contexts,//v1/projects/{projectsId}/locations/{locationsId}/metadataStores/{metadataStoresId}/contexts/{contextsId}:addContextArtifactsAndExecutions,POST
aiplatform,contexts,add_context_children,exec,,GoogleCloudAiplatformV1AddContextChildrenResponse,aiplatform.projects.locations.metadataStores.contexts.addContextChildren,projects|locations|metadataStores|contexts,//v1/projects/{projectsId}/locations/{locationsId}/metadataStores/{metadataStoresId}/contexts/{contextsId}:addContextChildren,POST
aiplatform,contexts,remove_context_children,exec,,GoogleCloudAiplatformV1RemoveContextChildrenResponse,aiplatform.projects.locations.metadataStores.contexts.removeContextChildren,projects|locations|metadataStores|contexts,//v1/projects/{projectsId}/locations/{locationsId}/metadataStores/{metadataStoresId}/contexts/{contextsId}:removeContextChildren,POST
aiplatform,featurestores_iam_policies,set_iam_policy,replace,,GoogleIamV1Policy,aiplatform.projects.locations.featurestores.setIamPolicy,projects|locations|featurestores,//v1/projects/{projectsId}/locations/{locationsId}/featurestores/{featurestoresId}:setIamPolicy,POST
aiplatform,featurestores_iam_policies,get_iam_policy,select,$.bindings,GoogleIamV1Policy,aiplatform.projects.locations.featurestores.getIamPolicy,projects|locations|featurestores,//v1/projects/{projectsId}/locations/{locationsId}/featurestores/{featurestoresId}:getIamPolicy,POST
aiplatform,featurestores_iam_policies,test_iam_permissions,exec,,GoogleIamV1TestIamPermissionsResponse,aiplatform.projects.locations.featurestores.testIamPermissions,projects|locations|featurestores,//v1/projects/{projectsId}/locations/{locationsId}/featurestores/{featurestoresId}:testIamPermissions,POST
aiplatform,featurestores,create,insert,,GoogleLongrunningOperation,aiplatform.projects.locations.featurestores.create,projects|locations,//v1/projects/{projectsId}/locations/{locationsId}/featurestores,POST
